"EVENT","LEVEL","COUNT","COUNT %","USERS","EVENTS PER USER","ENGAGEMENT","TOTAL ACTIVE"
"level_started","91","35229","0.0031","35224","1","0.13390000000000002","263000"
"level_started","89","35161","0.0031","35159","1","0.13369999999999999","263000"
"level_started","90","35035","0.0031","35033","1","0.1332","263000"
"level_started","92","34101","0.003","34098","1","0.1297","263000"
"level_started","93","33706","0.003","33703","1","0.1281","263000"
"level_started","95","33107","0.0029","33104","1","0.1259","263000"
"level_started","94","33040","0.0029","33036","1","0.12560000000000002","263000"
"level_started","97","31965","0.0028000000000000004","31959","1","0.1215","263000"
"level_started","96","31519","0.0028000000000000004","31517","1","0.1198","263000"
"level_started","99","31017","0.0027","31014","1","0.11789999999999999","263000"
"level_started","98","30862","0.0027","30860","1","0.1173","263000"
"level_started","100","30720","0.0027","30712","1","0.1168","263000"
"level_started","102","29052","0.0026","29050","1","0.1105","263000"
"level_started","101","29010","0.0026","29009","1","0.1103","263000"
"level_started","103","28746","0.0025","28746","1","0.1093","263000"
"level_started","104","28493","0.0025","28491","1","0.10830000000000001","263000"
"level_started","105","28467","0.0025","28465","1","0.1082","263000"
"level_started","106","27323","0.0024","27322","1","0.1039","263000"
"level_started","107","27154","0.0024","27149","1","0.1032","263000"
"level_started","110","26926","0.0024","26925","1","0.1024","263000"
"level_started","108","26842","0.0024","26841","1","0.10210000000000001","263000"
"level_started","109","26799","0.0024","26795","1","0.10189999999999999","263000"
"level_started","111","26057","0.0023","26052","1","0.09910000000000001","263000"
"level_started","112","25701","0.0023","25699","1","0.0977","263000"
"level_started","113","25340","0.0022","25340","1","0.09630000000000001","263000"
"level_started","115","25121","0.0022","25114","1","0.0955","263000"
"level_started","114","24920","0.0022","24916","1","0.0947","263000"
"level_started","116","23997","0.0021","23995","1","0.09119999999999999","263000"
"level_started","120","23762","0.0021","23758","1","0.09029999999999999","263000"
"level_started","117","23735","0.0021","23732","1","0.0902","263000"
"level_started","118","23668","0.0021","23665","1","0.09","263000"
"level_started","119","23568","0.0021","23567","1","0.08960000000000001","263000"
"level_started","121","23104","0.002","23102","1","0.08779999999999999","263000"
"level_started","122","22668","0.002","22667","1","0.0862","263000"
"level_started","123","22443","0.002","22441","1","0.08529999999999999","263000"
"level_started","125","22422","0.002","22421","1","0.08529999999999999","263000"
"level_started","124","22291","0.002","22290","1","0.0848","263000"
"level_started","127","21754","0.0019","21748","1","0.0827","263000"
"level_started","130","21336","0.0019","21333","1","0.08109999999999999","263000"
"level_started","126","21292","0.0019","21287","1","0.0809","263000"
"level_started","128","21030","0.0019","21026","1","0.0799","263000"
"level_started","129","20982","0.0019","20976","1","0.07980000000000001","263000"
"level_started","131","20575","0.0018","20573","1","0.0782","263000"
"level_started","132","20539","0.0018","20534","1","0.0781","263000"
