"EVENT","LEVEL","COUNT","EVENT AMOUNT","AMOUNT %","USERS","EVENTS PER USER"
"A - level_started","372","1962","1962","0.0002","1962","1"
"A - level_started","454","1151","1151","0.0001","1151","1"
"A - level_started","452","1150","1150","0.0001","1150","1"
"A - level_started","688","397","397","0","397","1"
"A - level_started","660","424","424","0.0001","424","1"
"A - level_started","531","754","754","0.0001","754","1"
"A - level_started","757","294","294","0","294","1"
"A - level_started","534","754","754","0.0001","754","1"
"A - level_started","475","1002","1002","0.0001","1002","1"
"A - level_started","379","1888","1888","0.0002","1888","1"
"A - level_started","288","3348","3348","0.0004","3347","1"
"A - level_started","469","1049","1049","0.0001","1049","1"
"A - level_started","696","397","397","0","397","1"
"A - level_started","499","866","866","0.0001","865","1"
"A - level_started","674","457","457","0.0001","457","1"
"A - level_started","303","2990","2990","0.0004","2990","1"
"A - level_started","522","803","803","0.0001","803","1"
"A - level_started","409","1583","1583","0.0002","1583","1"
"A - level_started","618","504","504","0.0001","504","1"
"A - level_started","500","896","896","0.0001","896","1"
"A - level_started","588","602","602","0.0001","602","1"
"A - level_started","528","792","792","0.0001","792","1"
"A - level_started","687","396","396","0","396","1"
"A - level_started","650","447","447","0.0001","447","1"
"A - level_started","582","618","618","0.0001","618","1"
"A - level_started","526","792","792","0.0001","792","1"
"A - level_started","453","1188","1188","0.0001","1188","1"
"A - level_started","681","413","413","0","413","1"
"A - level_started","281","3817","3817","0.0005","3816","1"
"A - level_started","251","5050","5050","0.0006","5049","1"
"A - level_started","654","444","444","0.0001","444","1"
"A - level_started","426","1355","1355","0.0002","1355","1"
"A - level_started","673","441","441","0.0001","441","1"
"A - level_started","293","3299","3299","0.0004","3298","1"
"A - level_started","273","3885","3885","0.0005","3885","1"
"A - level_started","213","7049","7049","0.0008","7048","1"
"A - level_started","244","5115","5115","0.0006","5115","1"
"A - level_started","274","3905","3905","0.0005","3905","1"
"A - level_started","168","10589","10589","0.0013","10589","1"
"A - level_started","163","11015","11015","0.0013","11012","1"
"A - level_started","575","631","631","0.0001","631","1"
"A - level_started","485","972","972","0.0001","972","1"
"A - level_started","573","658","658","0.0001","658","1"
"A - level_started","385","1761","1761","0.0002","1760","1"
"A - level_started","186","9217","9217","0.0011","9215","1"
"A - level_started","148","13051","13051","0.0015","13050","1"
"A - level_started","656","456","456","0.0001","456","1"
"A - level_started","241","5182","5182","0.0006","5181","1"
"A - level_started","450","1160","1160","0.0001","1160","1"
"A - level_started","665","443","443","0.0001","443","1"
"A - level_started","408","1527","1527","0.0002","1527","1"
"A - level_started","692","427","427","0.0001","427","1"
"A - level_started","264","4244","4244","0.0005","4243","1"
"A - level_started","84","28707","28707","0.0034000000000000002","28705","1"
"A - level_started","262","4291","4291","0.0005","4291","1"
"A - level_started","131","16009","16009","0.0019","16008","1"
"A - level_started","297","3265","3265","0.0004","3265","1"
"A - level_started","657","431","431","0.0001","431","1"
"A - level_started","328","2728","2728","0.0003","2728","1"
"A - level_started","416","1464","1464","0.0002","1464","1"
"A - level_started","596","559","559","0.0001","559","1"
"A - level_started","724","354","354","0","354","1"
"A - level_started","390","1735","1735","0.0002","1735","1"
"A - level_started","129","16302","16302","0.0019","16297","1"
"A - level_started","19","106077","106077","0.0126","106064","1"
"A - level_started","45","55960","55960","0.0066","55957","1"
"A - level_started","49","50557","50557","0.006","50553","1"
"A - level_started","220","6269","6269","0.0007000000000000001","6269","1"
"A - level_started","179","9613","9613","0.0011","9610","1"
"A - level_started","82","29421","29421","0.0034999999999999996","29419","1"
"A - level_started","149","13345","13345","0.0016","13343","1"
"A - level_started","340","2382","2382","0.0003","2381","1"
"A - level_started","247","4894","4894","0.0006","4893","1"
"A - level_started","150","12636","12636","0.0015","12634","1"
"A - level_started","170","10300","10300","0.0012","10298","1"
"A - level_started","502","887","887","0.0001","887","1"
"A - level_started","161","11638","11638","0.0014000000000000002","11636","1"
"A - level_started","550","683","683","0.0001","683","1"
"A - level_started","332","2533","2533","0.0003","2533","1"
"A - level_started","458","1139","1139","0.0001","1139","1"
"A - level_started","477","977","977","0.0001","977","1"
"A - level_started","398","1626","1626","0.0002","1626","1"
"A - level_started","261","4455","4455","0.0005","4455","1"
"A - level_started","698","396","396","0","396","1"
"A - level_started","702","389","389","0","389","1"
"A - level_started","444","1199","1199","0.0001","1199","1"
"A - level_started","497","857","857","0.0001","857","1"
"A - level_started","376","1921","1921","0.0002","1920","1"
"A - level_started","290","3441","3441","0.0004","3441","1"
"A - level_started","532","728","728","0.0001","728","1"
"A - level_started","422","1375","1375","0.0002","1374","1"
"A - level_started","565","670","670","0.0001","670","1"
"A - level_started","608","518","518","0.0001","518","1"
"A - level_started","711","404","404","0","404","1"
"A - level_started","647","466","466","0.0001","466","1"
"A - level_started","631","509","509","0.0001","509","1"
"A - level_started","581","600","600","0.0001","600","1"
"A - level_started","632","483","483","0.0001","483","1"
"A - level_started","401","1582","1582","0.0002","1582","1"
"A - level_started","370","1993","1993","0.0002","1993","1"
"A - level_started","435","1225","1225","0.0001","1225","1"
"A - level_started","473","1013","1013","0.0001","1013","1"
"A - level_started","555","683","683","0.0001","683","1"
"A - level_started","210","7211","7211","0.0009","7211","1"
"A - level_started","722","355","355","0","355","1"
"A - level_started","62","40331","40331","0.0048","40327","1"
"A - level_started","42","59719","59719","0.0070999999999999995","59711","1"
"A - level_started","97","24511","24511","0.0029","24507","1"
"A - level_started","481","1021","1021","0.0001","1020","1"
"A - level_started","312","2934","2934","0.0003","2934","1"
"A - level_started","670","451","451","0.0001","451","1"
"A - level_started","570","685","685","0.0001","685","1"
"A - level_started","66","36807","36807","0.0044","36801","1"
"A - level_started","520","793","793","0.0001","793","1"
"A - level_started","235","5623","5623","0.0007000000000000001","5623","1"
"A - level_started","109","20602","20602","0.0024","20599","1"
