"EVENT","LEVEL","COUNT","EVENT AMOUNT","AMOUNT %","USERS","EVENTS PER USER"
"A - level_started","15","118087","118087","0.013999999999999999","118074","1"
"A - level_started","699","390","390","0","390","1"
"A - level_started","69","35622","35622","0.0042","35621","1"
"A - level_started","482","975","975","0.0001","975","1"
"A - level_started","119","18266","18266","0.0022","18265","1"
"A - level_started","6","126993","126993","0.015","126978","1"
"A - level_started","147","13203","13203","0.0016","13202","1"
"A - level_started","8","122323","122323","0.014499999999999999","122318","1"
"A - level_started","549","697","697","0.0001","697","1"
"A - level_started","518","828","828","0.0001","828","1"
"A - level_started","10","131649","131649","0.015600000000000001","131637","1"
"A - level_started","14","118660","118660","0.013999999999999999","118654","1"
"A - level_started","114","19257","19257","0.0023","19254","1"
"A - level_started","13","119232","119232","0.0141","119225","1"
"A - level_started","134","15682","15682","0.0019","15682","1"
"A - level_started","237","5556","5556","0.0007000000000000001","5556","1"
"A - level_started","236","5588","5588","0.0007000000000000001","5588","1"
"A - level_started","432","1240","1240","0.0001","1240","1"
"A - level_started","185","9013","9013","0.0011","9012","1"
"A - level_started","120","18499","18499","0.0022","18495","1"
"A - level_started","135","15880","15880","0.0019","15878","1"
"A - level_started","381","1900","1900","0.0002","1899","1"
"A - level_started","289","3333","3333","0.0004","3333","1"
"A - level_started","299","3117","3117","0.0004","3117","1"
"A - level_started","353","2247","2247","0.0003","2247","1"
"A - level_started","188","8738","8738","0.001","8736","1"
"A - level_started","192","8480","8480","0.001","8478","1"
"A - level_started","162","11134","11134","0.0013","11134","1"
"A - level_started","552","681","681","0.0001","681","1"
"A - level_started","258","4570","4570","0.0005","4570","1"
"A - level_started","460","1078","1078","0.0001","1078","1"
"A - level_started","350","2267","2267","0.0003","2267","1"
"A - level_started","490","971","971","0.0001","971","1"
"A - level_started","368","2030","2030","0.0002","2029","1"
"A - level_started","271","3897","3897","0.0005","3895","1"
"A - level_started","339","2529","2529","0.0003","2529","1"
"A - level_started","333","2547","2547","0.0003","2547","1"
"A - level_started","413","1492","1492","0.0002","1492","1"
"A - level_started","491","924","924","0.0001","923","1"
"A - level_started","537","733","733","0.0001","733","1"
"A - level_started","410","1521","1521","0.0002","1521","1"
"A - level_started","446","1176","1176","0.0001","1176","1"
"A - level_started","753","304","304","0","304","1"
"A - level_started","383","1809","1809","0.0002","1809","1"
"A - level_started","345","2293","2293","0.0003","2293","1"
"A - level_started","468","1037","1037","0.0001","1036","1"
"A - level_started","445","1182","1182","0.0001","1182","1"
"A - level_started","505","867","867","0.0001","867","1"
"A - level_started","327","2647","2647","0.0003","2647","1"
"A - level_started","386","1742","1742","0.0002","1742","1"
"A - level_started","442","1194","1194","0.0001","1194","1"
"A - level_started","709","390","390","0","390","1"
"A - level_started","621","488","488","0.0001","488","1"
"A - level_started","396","1626","1626","0.0002","1626","1"
"A - level_started","431","1307","1307","0.0002","1307","1"
"A - level_started","585","593","593","0.0001","593","1"
"A - level_started","677","440","440","0.0001","440","1"
"A - level_started","690","412","412","0","412","1"
"A - level_started","748","304","304","0","304","1"
"A - level_started","569","686","686","0.0001","686","1"
"A - level_started","542","715","715","0.0001","714","1"
"A - level_started","594","557","557","0.0001","556","1"
"A - level_started","635","477","477","0.0001","477","1"
"A - level_started","645","459","459","0.0001","459","1"
"A - level_started","661","439","439","0.0001","439","1"
"A - level_started","716","376","376","0","376","1"
"A - level_started","599","558","558","0.0001","558","1"
"A - level_started","551","722","722","0.0001","722","1"
"A - level_started","715","391","391","0","391","1"
"A - level_started","633","477","477","0.0001","477","1"
"A - level_started","668","425","425","0.0001","425","1"
"A - level_started","121","17893","17893","0.0021","17891","1"
"A - level_started","728","338","338","0","338","1"
"A - level_started","39","62076","62076","0.0073","62075","1"
"A - level_started","597","580","580","0.0001","580","1"
"A - level_started","112","19810","19810","0.0023","19808","1"
"A - level_started","504","873","873","0.0001","873","1"
"A - level_started","267","4302","4302","0.0005","4302","1"
"A - level_started","424","1373","1373","0.0002","1373","1"
"A - level_started","754","292","292","0","292","1"
"A - level_started","646","454","454","0.0001","454","1"
"A - level_started","124","17332","17332","0.0021","17331","1"
"A - level_started","324","2640","2640","0.0003","2639","1"
"A - level_started","629","517","517","0.0001","517","1"
"A - level_started","742","318","318","0","318","1"
"A - level_started","459","1151","1151","0.0001","1151","1"
"A - level_started","697","411","411","0","410","1"
"A - level_started","441","1199","1199","0.0001","1198","1"
"A - level_started","268","4089","4089","0.0005","4089","1"
"A - level_started","436","1252","1252","0.0001","1251","1"
"A - level_started","199","7905","7905","0.0009","7903","1"
"A - level_started","417","1452","1452","0.0002","1452","1"
"A - level_started","300","3104","3104","0.0004","3103","1"
"A - level_started","38","62672","62672","0.0074","62668","1"
"A - level_started","59","42655","42655","0.005","42651","1"
"A - level_started","756","290","290","0","290","1"
"A - level_started","479","987","987","0.0001","987","1"
"A - level_started","602","567","567","0.0001","567","1"
"A - level_started","295","3213","3213","0.0004","3212","1"
"A - level_started","746","309","309","0","309","1"
"A - level_started","298","3143","3143","0.0004","3142","1"
"A - level_started","539","716","716","0.0001","716","1"
"A - level_started","44","57020","57020","0.0068000000000000005","57015","1"
"A - level_started","636","471","471","0.0001","471","1"
"A - level_started","16","113318","113318","0.0134","113314","1"
"A - level_started","593","555","555","0.0001","555","1"
"A - level_started","492","930","930","0.0001","930","1"
"A - level_started","60","42007","42007","0.005","42003","1"
"A - level_started","305","3123","3123","0.0004","3120","1"
"A - level_started","352","2274","2274","0.0003","2274","1"
"A - level_started","190","8893","8893","0.0011","8890","1"
"A - level_started","556","703","703","0.0001","703","1"
"A - level_started","284","3624","3624","0.0004","3624","1"
"A - level_started","173","9870","9870","0.0012","9869","1"
"A - level_started","321","2751","2751","0.0003","2751","1"
"A - level_started","83","29018","29018","0.0034000000000000002","29018","1"
"A - level_started","304","2988","2988","0.0004","2988","1"
"A - level_started","282","3660","3660","0.0004","3660","1"
"A - level_started","407","1540","1540","0.0002","1540","1"
"A - level_started","254","4702","4702","0.0006","4701","1"
"A - level_started","548","691","691","0.0001","691","1"
"A - level_started","740","329","329","0","329","1"
"A - level_started","256","4593","4593","0.0005","4593","1"
"A - level_started","729","333","333","0","333","1"
"A - level_started","238","5698","5698","0.0007000000000000001","5698","1"
"A - level_started","451","1165","1165","0.0001","1165","1"
"A - level_started","32","74287","74287","0.0088","74282","1"
"A - level_started","430","1285","1285","0.0002","1285","1"
"A - level_started","200","7955","7955","0.0009","7955","1"
"A - level_started","90","26483","26483","0.0031","26481","1"
"A - level_started","17","109378","109378","0.0129","109372","1"
"A - level_started","41","60945","60945","0.0072","60942","1"
"A - level_started","29","78161","78161","0.009300000000000001","78157","1"
"A - level_started","20","102992","102992","0.012199999999999999","102979","1"
"A - level_started","54","46980","46980","0.005600000000000001","46976","1"
"A - level_started","110","20805","20805","0.0025","20804","1"
"A - level_started","100","23578","23578","0.0028000000000000004","23571","1"
"A - level_started","158","11793","11793","0.0014000000000000002","11793","1"
"A - level_started","94","25073","25073","0.003","25069","1"
"A - level_started","246","5252","5252","0.0006","5252","1"
"A - level_started","58","42891","42891","0.0051","42888","1"
"A - level_started","231","5689","5689","0.0007000000000000001","5689","1"
"A - level_started","145","13761","13761","0.0016","13760","1"
"A - level_started","234","5623","5623","0.0007000000000000001","5623","1"
"A - level_started","207","7238","7238","0.0009","7238","1"
"A - level_started","208","7343","7343","0.0009","7341","1"
"A - level_started","178","9608","9608","0.0011","9606","1"
"A - level_started","341","2389","2389","0.0003","2388","1"
"A - level_started","140","15311","15311","0.0018","15307","1"
"A - level_started","354","2326","2326","0.0003","2324","1"
"A - level_started","310","3049","3049","0.0004","3049","1"
"A - level_started","714","383","383","0","383","1"
"A - level_started","277","3740","3740","0.0004","3739","1"
"A - level_started","470","1040","1040","0.0001","1040","1"
"A - level_started","571","673","673","0.0001","673","1"
"A - level_started","508","845","845","0.0001","845","1"
"A - level_started","615","511","511","0.0001","510","1"
"A - level_started","686","406","406","0","406","1"
"A - level_started","559","675","675","0.0001","675","1"
"A - level_started","576","664","664","0.0001","664","1"
"A - level_started","638","462","462","0.0001","462","1"
"A - level_started","678","441","441","0.0001","441","1"
"A - level_started","600","561","561","0.0001","561","1"
"A - level_started","589","598","598","0.0001","598","1"
"A - level_started","643","459","459","0.0001","459","1"
"A - level_started","371","1971","1971","0.0002","1971","1"
"A - level_started","346","2298","2298","0.0003","2297","1"
"A - level_started","455","1157","1157","0.0001","1157","1"
"A - level_started","484","945","945","0.0001","945","1"
"A - level_started","471","1048","1048","0.0001","1048","1"
"A - level_started","750","302","302","0","302","1"
"A - level_started","506","860","860","0.0001","860","1"
"A - level_started","510","820","820","0.0001","820","1"
"A - level_started","601","556","556","0.0001","555","1"
"A - level_started","658","442","442","0.0001","442","1"
"A - level_started","619","505","505","0.0001","505","1"
"A - level_started","669","421","421","0","421","1"
"A - level_started","43","57961","57961","0.0069","57956","1"
"A - level_started","553","688","688","0.0001","688","1"
"A - level_started","389","1717","1717","0.0002","1717","1"
"A - level_started","172","9967","9967","0.0012","9966","1"
"A - level_started","595","558","558","0.0001","558","1"
"A - level_started","266","4248","4248","0.0005","4247","1"
"A - level_started","434","1294","1294","0.0002","1294","1"
"A - level_started","667","418","418","0","418","1"
"A - level_started","40","61534","61534","0.0073","61528","1"
"A - level_started","177","9665","9665","0.0011","9664","1"
"A - level_started","160","11607","11607","0.0014000000000000002","11606","1"
"A - level_started","137","14982","14982","0.0018","14979","1"
"A - level_started","607","540","540","0.0001","540","1"
"A - level_started","566","690","690","0.0001","690","1"
"A - level_started","557","654","654","0.0001","654","1"
"A - level_started","512","862","862","0.0001","862","1"
"A - level_started","27","84647","84647","0.01","84643","1"
"A - level_started","538","723","723","0.0001","722","1"
"A - level_started","136","15172","15172","0.0018","15168","1"
"A - level_started","217","6655","6655","0.0008","6655","1"
"A - level_started","411","1515","1515","0.0002","1515","1"
"A - level_started","313","2948","2948","0.0003","2947","1"
"A - level_started","201","7707","7707","0.0009","7707","1"
"A - level_started","637","470","470","0.0001","470","1"
"A - level_started","73","33828","33828","0.004","33825","1"
"A - level_started","87","27206","27206","0.0032","27202","1"
"A - level_started","348","2390","2390","0.0003","2390","1"
"A - level_started","263","4214","4214","0.0005","4214","1"
"A - level_started","113","19564","19564","0.0023","19564","1"
"A - level_started","380","1882","1882","0.0002","1882","1"
"A - level_started","108","20610","20610","0.0024","20609","1"
"A - level_started","338","2428","2428","0.0003","2428","1"
"A - level_started","245","5098","5098","0.0006","5097","1"
"A - level_started","242","5168","5168","0.0006","5167","1"
"A - level_started","127","16991","16991","0.002","16987","1"
"A - level_started","344","2279","2279","0.0003","2278","1"
"A - level_started","744","322","322","0","322","1"
"A - level_started","578","617","617","0.0001","617","1"
"A - level_started","704","397","397","0","397","1"
"A - level_started","721","366","366","0","365","1"
"A - level_started","230","5702","5702","0.0007000000000000001","5702","1"
"A - level_started","641","450","450","0.0001","450","1"
"A - level_started","358","2187","2187","0.0003","2187","1"
"A - level_started","617","499","499","0.0001","499","1"
"A - level_started","604","535","535","0.0001","535","1"
"A - level_started","71","34587","34587","0.0040999999999999995","34585","1"
"A - level_started","276","3949","3949","0.0005","3946","1"
"A - level_started","89","26578","26578","0.0031","26576","1"
"A - level_started","184","8955","8955","0.0011","8954","1"
"A - level_started","509","846","846","0.0001","846","1"
"A - level_started","351","2265","2265","0.0003","2265","1"
"A - level_started","605","540","540","0.0001","540","1"
"A - level_started","583","591","591","0.0001","591","1"
"A - level_started","364","2161","2161","0.0003","2161","1"
"A - level_started","382","1934","1934","0.0002","1934","1"
